W,T,R
0.518,0.9688840999999999,0.0306944
0.519,0.9690398,0.0308889
0.52,0.9686359,0.031031800000000002
0.521,0.9686909,0.0308807
0.522,0.9691142,0.0308082
0.523,0.9685666999999999,0.031021800000000002
0.524,0.9686962,0.031087899999999998
0.525,0.9686281999999999,0.0308194
0.526,0.968916,0.0308223
0.527,0.9685411,0.0311853
0.528,0.9682761000000001,0.0313104
0.529,0.968782,0.0310339
0.53,0.9687589,0.0308559
0.531,0.9688686,0.030952700000000003
0.532,0.9685217,0.0308941
0.533,0.9690812,0.030552899999999997
0.534,0.9693577999999999,0.030240999999999997
0.535,0.9692413999999999,0.0302036
0.536,0.9696799,0.0303162
0.537,0.9692973,0.0302681
0.538,0.9698074,0.0300571
0.539,0.9695806,0.029925099999999996
0.54,0.9692725,0.030175
0.541,0.9690492999999999,0.030658400000000002
0.542,0.9687998,0.0309016
0.543,0.9690470000000001,0.030706699999999996
0.544,0.9690955,0.0304387
0.545,0.9692951,0.030554
0.546,0.9686714000000001,0.030953400000000002
0.547,0.9687196,0.0311894
0.548,0.9689296000000001,0.0309403
0.549,0.9688985,0.030469
0.55,0.9696383000000001,0.030271499999999996
0.551,0.9691924000000001,0.0304127
0.552,0.9693343,0.0305508
0.553,0.9695036,0.030303499999999997
0.554,0.9700333999999999,0.0298162
0.555,0.9704276000000001,0.0295687
0.556,0.9698730000000001,0.029806
0.557,0.9694329,0.0303621
0.558,0.9688218000000001,0.0308237
0.559,0.9689559,0.0310039
0.56,0.9687878999999999,0.031008900000000002
0.561,0.9684791,0.0311349
0.562,0.9684492,0.0315469
0.563,0.9677692,0.0320166
0.564,0.9675188,0.032185
0.565,0.9678632,0.0318928
0.566,0.9684424,0.0314249
0.567,0.9685299999999999,0.0311944
0.568,0.9682887,0.0313296
0.569,0.9684006,0.0315965
0.57,0.9681545,0.0316959
0.571,0.9678328999999999,0.031652
0.572,0.9683591,0.031638099999999995
0.573,0.9681209,0.0316487
0.574,0.9684049,0.0315913
0.575,0.9683701,0.0313702
0.576,0.9685921999999999,0.031153499999999997
0.577,0.9688365,0.0311599
0.578,0.9685166,0.0314148
0.579,0.9683264,0.0316704
0.58,0.9678504,0.0316153
0.581,0.9685679,0.0312675
0.582,0.9689964000000001,0.030903200000000002
0.583,0.9691179,0.0308151
0.584,0.9690439999999999,0.030952700000000003
0.585,0.9684837000000001,0.031055899999999997
0.586,0.968943,0.0310311
0.587,0.9685229,0.030954000000000002
0.588,0.9689635,0.0310328
0.589,0.9685389000000001,0.031205599999999997
0.59,0.9682735,0.031365
0.591,0.9684962,0.0314329
0.592,0.9681438,0.0313654
0.593,0.9688443999999999,0.0311521
0.594,0.9689494000000001,0.0306941
0.595,0.9698488000000001,0.030147900000000002
0.596,0.9699767,0.029810500000000004
0.597,0.969483,0.0299455
0.598,0.9694759000000001,0.0305206
0.599,0.9683247,0.031159500000000003
0.6,0.9683691,0.0316275
0.601,0.9677073,0.0318429
0.602,0.9678467999999999,0.0319746
0.603,0.967877,0.032084299999999996
0.604,0.9676771,0.0321494
0.605,0.9678662,0.0321305
0.606,0.967646,0.0319717
0.607,0.9683197,0.0316771
0.608,0.968758,0.0312055
0.609,0.9692818,0.0306751
